"Handle","Title","Body","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Grams","Variant Inventory Tracker","Variant Inventory Quantity","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare at Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","SEO Title ","SEO Description","Collection"
"CAN-MAR-100","Mary Candle","Mary of 100 Lights Candle","CAN-MAR-100","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours.","candles, white candle, white wax, wax candle, wick, lead-free wick, lead free, 3 X 6 candle, white wax pillar candle, pillar candles, natural wax candle, vegetable wax candle, 60 hour candle, sacred image candle. 100 lights, lights, Mary Candle, Mother Mary Candle, Virgin Mary Candle","","Category1","Candles","Category2","","","","1.06","","100","deny","manual","15","","1","1","","IMG2786-001.JPG","","","","","lb","","","",""
"KOKO-PL","Kokopeli Card","Southwestern Native American Kokopelli Card","KOKO-PL","
Greeting Card With Matching Envelope","Kokopeli, Southwestern Legends, Native Americans, Native American Mythology, The Trickster","","Category1","Plain Cards","Category2","Art Cards","","","0.1","","995","deny","manual","3.5","","1","1","","KOKO733.jpg","","","","KOKOb734.jpg","lb","","","",""
"MAR-ROS-EMB","Mother Mary Embellished Card","Queen of Heaven - Hail, O Queen of Heaven enthroned, Hail, by angels mistress owned. Root of Jesse, gate of morn whence the world's true Light was born: Glorious Virgin, Joy to thee. Lovliest whom in heaven they see; fairest thou, where all are fair; plead with Christ our souls to spare.","MAR-ROS-EMB","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope","Queen of Heaven, Miraculous Mary, Mary, Mother Mary, Virgin Mary, Mother of God, The Virgin, Divine Mother, Madonna","","Category1","Embellished Cards","Category2","Christian Cards","","","0.1","","968","deny","manual","8","","1","1","","MAR-ROS-EMB472.jpg","","","","MAR-ROSb130.jpg","lb","","","",""
"KRI-FLU-2-PL","Lord Krishna Card","Lord Krishna Plays His Flute.","KRI-FLU-2-PL","
Greeting Card With White Envelope","Lord Krishna, Krishna. Hindu God Krishna. Krishna Playing His Flute.","","Category1","Plain Cards","Category2","Hindu Cards","","","0.1","","100","deny","manual","3","","1","1","","KRI-FLU-2-A1.jpg","","","","KRI-FLU-2-B.jpg","lb","","","",""
"KY-DG2-PL","Kuan Yin Riding the Dragon Card","Kuan Yin, the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","KY-DG2-PL","
Greeting Card With White Envelope","Kuan Yin, Guan Yin, Kanon, Gwan Yin, Kuan Shih Yin, Bodhisattva, Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother, Riding the Dragon, Dragon","","Category1","Plain Cards","Category2","Buddhist Cards","","","0.2","","1000","deny","manual","3","","1","1","","KY-DG2-A.jpg","","","","KY-DG2-B;jpg","lb","","","",""
"KY-DG3-PL","Bodhisattva Kuan Yin Card","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","KY-DG3-PL","
Greeting Card With White Envelope","Kuan Yin, Guan Yin, Kanon, Gwan Yin, Kuan Shih Yin, Bodhisattva, Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother.","","Category1","Plain Cards","Category2","Kuan Yin Cards","","","0.2","","999","deny","manual","3","","1","1","","KY-FD-A.jpg","","","","KY-FDb159.jpg","lb","","","",""
"KY-DR2-PL","Kuan Yin Riding the Dragon Card","Kuan yin, Bodhisattva of Compassion - ""Listen to the deeds of Kuan Yin responding compassionately on every side with great vows, deep as the ocean, through inconceivable periods of time, serving innumerable Buddhas, giving great, clear, and pure vows. To hear her name, to see her body, to hold her in the heart, is not in vain, for she can extinguish the suffering of existence."" ~ From the Buddhist Lotus Sutra","KY-DR2-PL","
Greeting Card With White Envelope","Kuan Yin, Guan Yin, Kanon, Gwan Yin, Kuan Shih Yin, Bodhisattva, Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother, Kuan Yin Riding the Dragon, Dragon","","Category1","Plain Cards","Category2","Kuan Yin Cards","","","0.2","","994","deny","manual","3","","1","1","","KY-DG-2301.jpg","","","","KY-DR2-B.jpg","lb","","","",""
"FS-BUD-2-PL","Feng Shui Buddha Card","Feng Shui Buddha Card","FS-BUD-2-PL","
Greeting Card With Matching Envelope","Feng Shui, Buddha, Spa, Wellness, Balance, Tranquility, Peace, Relaxation, Meditation ","","Category1","Plain Cards","Category2","","","","","","994","deny","manual","3","","1","1","","FS-BUD-2205.jpg","","","","FS-BUD-2b206.jpg","lb","","","",""
"AW-SPIR-PL","Spirit, The Black Leopard Card","The Ascending World Collection
Greeting Card With Matching Envelope","AW-SPIR-PL","
Spirit, The Black Leopard Card","black leopard, wild cats animals, jaguar, leopard, spirit, wild animals, cats, jungle cats, balck","","Category1","Plain Cards","Category2","Ascending World Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","AW-SPIR542.jpg","","","","AW-SPIRb543.jpg","lb","","","",""
"KY-FD-PL","Kuan Yin Mealtime Prayer Card","Quan Yin Mealtime Prayer Card","KY-FD-PL","
Greeting Card With Matching Envelope","Kuan Yin, Guan Yin, Kanon, Gwan Yin, Kuan Shih Yin, Bodhisattva, Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother, mealtime, prayer before a meal, prayers","","Category1","Plain Cards","Category2","Kuan Yin Cards","","","0.2","","981","deny","manual","3.5","","1","1","","KY-FD653.jpg","","","","KY-FDb654.jpg","lb","","","",""
"KY-GD-PL","Kuan Yin, Sitting In a Lotus Patch","Kuan Yin Sitting In A Lotus Patch Card","KY-GD-PL","
Greeting Card With Matching Envelope","Kuan Yin, Guan Yin, Kanon, Gwan Yin, Kuan Shih Yin, Bodhisattva, Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother, Lotus Patch, Lotus Flower, Flowers","","Category1","Plain Cards","Category2","Kuan Yin Cards","","","0.2","","993","deny","manual","3.5","","1","1","","KY-GD659.jpg","","","","KY-GDb660.jpg","lb","","","",""
"KY-LI-PL","Kuan Yin On Dragon Card","Goddess Kannon On A Dragon Card","KY-LI-PL","
Greeting Card With Matching Envelope","Goddess of Compassion, Goddess of Mercy, Buddhist Goddess of Compassion, Hearer of Cries, Divine Mother, Jewel in the Lotus, Compassionate Mother, Kuan Yin Riding the Dragon, Dragon","","Category1","Plain Cards","Category2","Kuan Yin Cards","","","0.2","","974","deny","manual","3.5","","1","1","","KY-LI647.jpg","","","","KY-LIb648.jpg","lb","","","",""
"M-HB-PL","&quot;Happy Birthday&quot; Card","""Happy Birthday"" Card With Dogs Gifting","M-HB-PL","
Greeting Card With Matching Envelope","Happy Birthday, dogs, presents, gifts, gifting","","Category1","Plain Cards","Category2","Message Cards","","","0.1","","1000","deny","manual","3.5","","1","1","","M-HB605.jpg","","","","M-HBb604.jpg","lb","","","",""
"M-GIF-PL","&quot;The Gift&quot; Card","""The Gift"" Card, Fairie Holding a Gift","M-GIF-PL","
Greeting Card With Matching Envelope","fairies, gifts, presents, giving","","Category1","Plain Cards","Category2","Message Cards","","","0.1","","998","deny","manual","3.5","","1","1","","M-GIF870.jpg","","","","M-GIFb602.jpg","lb","","","",""
